title,artist,top genre,year released,added,dnce,val,dur,pop,artist type
Thinkin Bout You,Frank Ocean,alternative r&b,2012,2020‑06‑22,72,20,201,81,Solo
We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012,2020‑06‑22,38,74,251,79,Band/Group
Some Nights,fun.,baroque pop,2012,2020‑06‑22,67,39,277,76,Band/Group
Somebody That I Used To Know,Gotye,australian pop,2011,2020‑06‑22,86,72,245,81,Solo
Oblivion,Grimes,art pop,2012,2020‑06‑22,70,49,251,71,Solo
Ass Back Home (feat. Neon Hitch),Gym Class Heroes,dance pop,2011,2020‑06‑22,72,65,222,67,Band/Group
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,2020‑06‑22,71,82,157,74,Duo
It's Time,Imagine Dragons,modern rock,2012,2020‑06‑22,66,86,238,72,Band/Group
On Top Of The World,Imagine Dragons,modern rock,2012,2020‑06‑22,64,76,190,72,Band/Group
Ni**as In Paris,JAY-Z,east coast hip hop,2011,2020‑06‑22,79,78,219,88,Solo
Boyfriend,Justin Bieber,canadian pop,2012,2020‑06‑22,72,33,171,68,Solo
Mercy,Kanye West,chicago rap,2012,2020‑06‑22,56,43,329,79,Solo
Brokenhearted,Karmin,dance pop,2012,2020‑06‑22,77,89,227,70,Duo
The One That Got Away,Katy Perry,dance pop,2012,2020‑06‑22,69,86,227,78,Solo
Part Of Me,Katy Perry,dance pop,2012,2020‑06‑22,68,77,216,78,Solo
Swimming Pools (Drank) - Extended Version,Kendrick Lamar,conscious hip hop,2012,2020‑06‑22,72,26,314,76,Solo
m.A.A.d city,Kendrick Lamar,conscious hip hop,2012,2020‑06‑22,49,22,350,73,Solo
Die Young,Kesha,dance pop,2012,2020‑06‑25,71,80,212,83,Solo
C'Mon,Kesha,dance pop,2012,2020‑06‑22,56,29,214,67,Solo
Ride,Lana Del Rey,art pop,2012,2020‑06‑22,37,19,289,64,Solo
Video Games,Lana Del Rey,art pop,2012,2020‑06‑22,39,18,282,63,Solo
Born To Die,Lana Del Rey,art pop,2012,2020‑06‑22,39,40,286,62,Solo
BURN IT DOWN,Linkin Park,alternative metal,2012,2020‑06‑22,59,59,230,79,Band/Group
Sexy And I Know It,LMFAO,dance pop,2011,2020‑06‑22,71,80,199,68,Duo
